Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
231,Moussa Diabaté,24,CHO,C,26,2,21.8,3.1,4.9,0.63,0,0,,3.1,4.9,0.63,0.63,2,2.9,0.684,3.5,4,7.5,1.2,0.6,1,0.7,2.5,8.2,,diabamo01
232,Draymond Green,35,GSW,PF,22,22,28.3,3,7.7,0.391,1.5,4.7,0.33,1.5,3,0.485,0.491,0.7,1,0.652,0.9,5.3,6.2,5.4,0.9,0.9,3.3,3.6,8.2,,greendr01
233,Tyrese Martin,26,BRK,SG,25,6,20.8,3,7.8,0.39,1.4,4.5,0.321,1.6,3.3,0.482,0.482,0.6,0.9,0.727,1,2.2,3.2,2.4,0.7,0.1,1,1,8.2,,martity01
234,Bryce McGowens,23,NOP,SG,18,5,17.2,2.7,5.1,0.522,0.8,1.6,0.517,1.8,3.5,0.524,0.603,1.9,2.4,0.791,0.2,1.8,2.1,1.4,0.4,0.2,0.3,1.4,8.1,,mcgowbr01
235,Isaiah Collier,21,UTA,PG,18,1,21.7,2.7,5.3,0.5,0.3,1,0.333,2.3,4.3,0.538,0.531,2.3,3.4,0.689,0.2,1.7,1.9,5.9,0.5,0.3,2,1.9,8,,colliis01
236,Jay Huff,27,IND,C,27,11,19.3,2.8,6.6,0.424,1.4,4.6,0.315,1.3,2,0.679,0.534,1,1.3,0.8,1.2,2.7,3.9,1.3,0.3,2.5,0.7,2.2,8,,huffja01
237,Jaden Ivey,23,DET,SG,12,0,14.9,2.8,6.3,0.447,1.1,3.1,0.351,1.8,3.3,0.538,0.533,1.3,1.4,0.882,0.7,1.8,2.4,1.5,0.6,0.2,1.1,1.6,8,,iveyja01
238,Daniss Jenkins,24,DET,PG,22,6,17.1,3,6.8,0.443,0.8,2.4,0.346,2.2,4.4,0.495,0.503,1.2,1.6,0.771,0.7,1.3,2,3.1,0.9,0,1.4,1.4,8,,jenkida01
239,Will Richard,23,GSW,SG,23,12,19.1,2.8,5.3,0.533,1.3,3.2,0.397,1.6,2.1,0.735,0.652,1,1.3,0.774,1,1.7,2.7,1.1,1,0,0.7,2,8,,richawi02
240,Buddy Hield,33,GSW,SG,28,3,18.5,2.9,7,0.413,1.5,4.6,0.32,1.4,2.4,0.588,0.518,0.6,0.6,0.944,0.7,1.8,2.5,1.6,0.8,0.1,1.1,1.4,7.9,,hieldbu01
241,Caleb Love,24,POR,SG,19,0,17.4,2.9,8.7,0.337,1.4,5.2,0.263,1.6,3.5,0.448,0.416,0.6,0.8,0.8,0.6,1.8,2.4,2.1,0.5,0,0.8,1.2,7.9,,loveca01
