Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Team,SourceTable,Trp-Dbl,Awards
1.0,Stephen Curry,35.0,74,74,2421,650,1445,0.45,357,876,0.408,293,569,0.515,0.573,299,324,0.923,37,293,330,379,54,28,210,117,1956,Golden State Warriors,totals,0,"CPOY-1,AS,NBA3"
2.0,Klay Thompson,33.0,77,63,2284,490,1133,0.432,268,692,0.387,222,441,0.503,0.551,127,137,0.927,35,219,254,176,50,35,117,127,1375,Golden State Warriors,totals,0,
3.0,Brandin Podziemski,20.0,74,28,1968,271,597,0.454,90,234,0.385,181,363,0.499,0.529,50,79,0.633,118,309,427,273,61,14,88,122,682,Golden State Warriors,totals,0,ROY-5
4.0,Jonathan Kuminga,21.0,74,46,1949,456,862,0.529,53,165,0.321,403,697,0.578,0.56,223,299,0.746,92,263,355,163,55,36,122,169,1188,Golden State Warriors,totals,0,
5.0,Andrew Wiggins,28.0,71,59,1920,353,780,0.453,91,254,0.358,262,526,0.498,0.511,142,189,0.751,108,213,321,119,42,41,87,147,939,Golden State Warriors,totals,0,
6.0,Chris Paul,38.0,58,18,1531,206,467,0.441,78,210,0.371,128,257,0.498,0.525,43,52,0.827,18,207,225,393,70,6,76,108,533,Golden State Warriors,totals,0,
7.0,Draymond Green,33.0,55,52,1490,185,372,0.497,51,129,0.395,134,243,0.551,0.566,54,74,0.73,76,322,398,332,55,47,135,166,475,Golden State Warriors,totals,1,
8.0,Kevon Looney,27.0,74,36,1195,139,233,0.597,0,1,0.0,139,232,0.599,0.597,56,83,0.675,143,276,419,133,28,29,50,155,334,Golden State Warriors,totals,0,
9.0,Moses Moody,21.0,66,9,1156,194,420,0.462,72,200,0.36,122,220,0.555,0.548,73,93,0.785,65,131,196,57,42,24,44,90,533,Golden State Warriors,totals,0,
10.0,Trayce Jackson-Davis,23.0,68,16,1130,233,332,0.702,0,1,0.0,233,331,0.704,0.702,74,132,0.561,135,206,341,82,29,76,49,108,540,Golden State Warriors,totals,0,
11.0,Dario Å ariÄ,29.0,64,9,1098,181,388,0.466,74,197,0.376,107,191,0.56,0.562,79,93,0.849,73,210,283,144,31,10,78,112,515,Golden State Warriors,totals,0,
12.0,Gary Payton II,31.0,44,0,680,103,183,0.563,20,55,0.364,83,128,0.648,0.617,14,23,0.609,46,67,113,48,39,18,27,77,240,Golden State Warriors,totals,0,
13.0,Lester QuiÃ±ones,23.0,37,0,394,56,141,0.397,32,88,0.364,24,53,0.453,0.511,20,29,0.69,21,51,72,36,6,2,17,44,164,Golden State Warriors,totals,0,
14.0,Cory Joseph,32.0,26,0,296,23,64,0.359,13,42,0.31,10,22,0.455,0.461,4,7,0.571,6,24,30,42,4,3,12,25,63,Golden State Warriors,totals,0,
15.0,Gui Santos,21.0,23,0,192,28,55,0.509,10,27,0.37,18,28,0.643,0.6,16,17,0.941,17,32,49,14,4,2,7,23,82,Golden State Warriors,totals,0,
16.0,Jerome Robinson,26.0,22,0,81,11,33,0.333,2,17,0.118,9,16,0.563,0.364,7,11,0.636,1,5,6,5,1,3,2,5,31,Golden State Warriors,totals,0,
17.0,Pat Spencer,27.0,6,0,26,2,4,0.5,0,2,0.0,2,2,1.0,0.5,0,0,,2,2,4,5,0,0,1,1,4,Golden State Warriors,totals,0,
18.0,Usman Garuba,21.0,6,0,18,1,6,0.167,0,1,0.0,1,5,0.2,0.167,1,2,0.5,3,4,7,1,1,3,2,2,3,Golden State Warriors,totals,0,
,Team Totals,,82,82,19829,3582,7515,0.477,1211,3191,0.38,2371,4324,0.548,0.557,1282,1644,0.78,996,2834,3830,2402,572,377,1124,1598,9657,Golden State Warriors,totals,1,
1.0,Fred VanVleet,29.0,73,73,2684,423,1018,0.416,227,586,0.387,196,432,0.454,0.527,197,229,0.86,33,245,278,589,101,59,126,183,1270,Houston Rockets,totals,0,
2.0,Jalen Green,21.0,82,82,2601,563,1332,0.423,201,605,0.332,362,727,0.498,0.498,283,352,0.804,41,382,423,291,66,28,191,115,1610,Houston Rockets,totals,1,
3.0,Jabari Smith Jr.,20.0,76,76,2424,378,833,0.454,138,380,0.363,240,453,0.53,0.537,150,185,0.811,139,477,616,121,52,61,89,200,1044,Houston Rockets,totals,0,
4.0,Dillon Brooks,28.0,72,72,2227,329,768,0.428,133,370,0.359,196,398,0.492,0.515,124,147,0.844,53,193,246,119,64,10,88,241,915,Houston Rockets,totals,0,
